Highlight,Book Title,Book Author,Amazon Book ID,Highlighted at
"Since sellers tend to transact frequently with multiple buyers and their shipments can be tracked, it’s easy to monitor the repeated behavior of individual sellers to assess their trustworthiness. Buyers, on the other hand, are likely to be much more sporadic with their online activities. Without the capacity to profile any but the worst shopaholics, we had less ability to anticipate the risk on the buying side of the equation.","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"The process of submitting a claim took time and numerous forms accompanied by a $50 deductible and a $200 cap. Since the average cost of an eBay item was $10 less than the deductible, eBay obviously designed this largely symbolic program to shield itself from being called indifferent to consumers.","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"Sacks sought to reduce our credit card processing expenses and to encourage ACH payments by lowering the total amount a user could send with his credit card before completing the verification process from $2,000 down to just $250.","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
a $500 limit on receiving credit card payments every six months… Recipients exceeding the $500 limit will no longer be able to accept credit card payments unless they choose to upgrade. Credit card payments sent to a Personal Account in excess of the limit will be held as ‘pending’ until the recipient chooses to accept the payment by upgrading or to return it to the,"The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"optional service enabled users to earn interest on the balance in their PayPal accounts. Although called the PayPal Money Market Fund, the fund was owned and managed by Barclays Bank,","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
Sacks hoped that providing our users with an interest-bearing incentive to keep cash in,"The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
PayPal would decrease their reliance on expensive credit cards to fund payments.,"The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"The increase in transaction revenues, coupled with declines in funding costs and fraud losses, caused our payment transaction margins to improve from -3.28% in the third quarter to -0.92% in","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"“That’s true,” I acknowledged, before adding, “You know, we make about 2% on signature-authorized transactions that use the MasterCard network, so that gives us some pretty significant cash to play around with.”","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"They would receive a 1.5% rebate on every signature-authorized debit card purchase in exchange for making PayPal the only online payment service advertised in their auctions. Since our business account fees ranged from 2.2% to 2.9% on incoming payments, this level of cashback would substantially lower our effective fees for any sellers who used their new debit card to purchase inventory or other goods and services.","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"PayPal would proactively mail unsolicited cards to qualified sellers and use Web site content, e-mails, and outbound phone calls to educate our customers on how to use their new plastic.","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"After losing 0.92% on every dollar in transaction volume in Q4, payments added a positive 0.20% to PayPal’s bottom line in the first quarter.","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"The transaction processing expense rate dropped from -1.67% to -1.36% in Q1 as more users chose bank accounts instead of credit cards to fund their payments, and our fraud losses improved by 13 basis points to -0.48%.","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"1.21% of payment volume in the third quarter of 2000 before falling to 0.61% in Q4 and the previously mentioned 0.48% in Q1, well under the 2.64%","The PayPal Wars: Battles with eBay, the Media, the Mafia, and the Rest of Planet Earth",Eric M. Jackson,B004NEW0HA,2012-03-14 04:56:00+00:00
"Douglas Adams. Kurt Vonnegut. Neal Stephenson. Richard K. Morgan. Stephen King. Orson Scott Card. Terry Pratchett. Terry Brooks. Bester, Bradbury, Haldeman, Heinlein, Tolkien, Vance, Gibson, Gaiman, Sterling, Moorcock, Scalzi, Zelazny.",Ready Player One,Ernest Cline,B004J4WKUQ,2014-11-03 04:56:00+00:00
Monty Python and the Holy Grail.,Ready Player One,Ernest Cline,B004J4WKUQ,2014-11-03 04:56:00+00:00
"Someone who owns the forest can make the trade-off for himself, but when an unorganized group together owns the forest there's no one to limit the harvest, and a Tragedy of the Commons can result.",Liars and Outliers: Enabling the Trust that Society Needs to Thrive,Bruce Schneier,B006ORT3KG,2012-04-13 04:56:00+00:00
allowing them to bill to their mobile phones or send us cash in the mail.,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,B004J4XGN6,2012-07-03 04:56:00+00:00
“We are so accustomed to considering our own thoughts private.”,"I, Robot (The Robot Series Book 1)",Isaac Asimov,B000FC1PW0,2012-08-28 04:56:00+00:00
"National advertising means that the product must be saleable to large numbers of people, as it is not worth buying network airtime for niche or specialty items. The result was that nationally advertised products tended to be bland and popular in flavor; they appealed to a “least common denominator” among American",An Economist Gets Lunch: New Rules for Everyday Foodies,Tyler Cowen,B005GSYYQ2,2012-11-09 04:56:00+00:00
we must understand that each age and place needs and elicits some types of ability rather than others in its pursuit of environmental control.,The Lessons of History,Will Durant and Ariel Durant,B008GUIEYU,2012-12-16 04:56:00+00:00
We should not compare the work of one land and time with the winnowed best of all the collected past. Our problem is whether the average man has increased his ability to control the conditions of his life.,The Lessons of History,Will Durant and Ariel Durant,B008GUIEYU,2012-12-16 04:56:00+00:00
"If, by happiness, you mean the absence of adversity, I and all fabricants are the happiest stratum in corpocracy, as genomicists insist. However, if happiness means the conquest of adversity, or a sense of purpose, or the xercise of one’s will to power, then of all Nea So Copros’s slaves we surely are the most miserable. I endured drudgery but enjoy it no more than yourself.",Cloud Atlas: A Novel,David Mitchell,B000SEGUDE,2012-12-25 04:56:00+00:00
"Presbyterian Church in the affluent Gangnam area of Seoul is popular among executives and conservative politicians. Competition to become a church elder there is very intense, as it offers excellent opportunities to make connections. President Lee Myung-bak himself is an attendee of the church. Despite being a member of the National Assembly and former CEO of Hyundai Engineering and Construction at the time he sought this office, he failed to be elected as an elder in 1994. After volunteering as a car park attendant while his wife cooked meals in the church kitchens, he finally won election the second time around.",Korea: The Impossible Country,Daniel Tudor,B009CH9FA8,2012-12-29 04:56:00+00:00
"the same academic department, will head out to the countryside for so-called “Membership Training” or “MT.” This is not really training but rather group bonding through the consumption of large amounts of alcohol.",Korea: The Impossible Country,Daniel Tudor,B009CH9FA8,2012-12-29 04:56:00+00:00
"Their loyalty was not fully reciprocated by the company, though, as most workers were forced into retirement around the age of fifty. Unless a worker was promoted to an executive role, it was expected that he would take retirement without making a fuss. Partly this was because older workers earn higher salaries than younger ones, but age hierarchy was also an issue. In Korea, one is expected to show respect to one’s elders.",Korea: The Impossible Country,Daniel Tudor,B009CH9FA8,2012-12-29 04:56:00+00:00
"He could cheat on me and he would never tell me, and he would think less and less of me for not figuring it out. He would see me across the breakfast table, innocently slurping cereal, and know that I am a fool, and how can anyone respect a fool?",Gone Girl: A Novel,Gillian Flynn,B006LSZECO,2013-01-24 04:56:00+00:00
Ecology also teaches that all life on earth can be viewed as a competition among species for the solar energy captured by green plants and stored in the form of complex carbon molecules. A food chain is a system for passing those calories on to species that lack the plant’s unique ability to synthesize them from sunlight.,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"(Originally “corn” was a generic English word for any kind of grain, even a grain of salt—hence “corned beef” it didn’t take long for Zea mays to appropriate the word for itself, at least in America.)",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
the shelled cobs were burned for heat and stacked by the privy as a rough substitute for toilet paper. (Hence the American slang term “corn hole.”),The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
the Haber-Bosch process (Carl Bosch gets the credit for commercializing Haber’s idea) for fixing nitrogen is the most important invention of the twentieth century.,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"After Britain choked off Germany’s supply of nitrates from Chilean mines, an essential ingredient in the manufacture of explosives, Haber’s technology allowed Germany to continue making bombs from synthetic nitrate. Later, as the war became mired in the trenches of France, Haber put his genius for chemistry to work developing poison gases—ammonia, then chlorine. (He subsequently developed Zyklon B, the gas used in Hitler’s concentration camps.)",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"The invention of commodity grain severed any link between the producer of a foodstuff and its ultimate consumer. A commodity is like a filter, stripping qualities and histories from the harvest of a particular farm and farmer.",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
One of the most striking things that animal feedlots do (to paraphrase Wendell Berry) is to take this elegant solution and neatly divide it into two new problems: a fertility problem on the farm (which must be remedied with chemical fertilizers) and a pollution problem on the feedlot (which seldom is remedied at all).,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"soda (100 percent corn), milk shake (78 percent), salad dressing (65 percent), chicken nuggets (56 percent), cheeseburger (52 percent), and French fries (23 percent).",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
“we should call ourselves sun farmers. The grass is just the way we capture the solar energy.”,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"Not only do ruminants spread and fertilize seed with their manure, but their hoofprints create shady little pockets of exposed soil where water collects—ideal conditions for germinating a grass seed.",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"Grass farming with skill involves so many variables, and so much local knowledge, that it is difficult to systematize. As faithful to the logic of biology as a carefully grazed pasture is, it meshes poorly with the logic of industry, which has no use for anything it cannot bend to its wheels and bottom line.",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"Plus, a grass plant burns up fifteen percent of its calories just defying gravity, so if you can stop it from being wind whipped, you greatly reduce the energy it uses keeping its photovoltaic array pointed toward the sun.",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"standardization, has bombarded us with the message that all pork is pork, all chicken is chicken, eggs eggs, even though we all know that can’t really be true. But it’s downright un-American to suggest that one egg might be nutritionally superior to another.”",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"“artisanal production,” where the competitive strategy is based on selling something special rather than being the least-cost producer of a commodity.",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
"Our metabolism requires specific chemical compounds that, in nature, can be gotten only from plants (like vitamin C) and others that can be gotten only from animals (like vitamin B-12).",The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,B000SEIDR0,2013-02-26 04:56:00+00:00
